City_ID,City,Max Temp,Current Conditions,Lat,Lng,Hotel Name
1,Nouadhibou,73.38,clear sky,20.931,-17.0347,El Medina
2,Airai,57.07,broken clouds,-8.9266,125.4092,
3,Ponta Delgada,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
4,Souillac,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,Port Alfred,62.44,overcast clouds,-33.5906,26.891,The Halyards Hotel
9,Torbay,60.28,light intensity drizzle,47.6666,-52.7314,Gallows Cove
12,Saint-Philippe,63.99,scattered clouds,-21.3585,55.7679,Le four à pain
14,Ponta Do Sol,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
16,Salamiyah,72.63,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
17,Vaini,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
19,Nouadhibou,73.38,clear sky,20.931,-17.0347,El Medina
20,Airai,57.07,broken clouds,-8.9266,125.4092,
21,Ponta Delgada,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
22,Souillac,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
24,Port Alfred,62.44,overcast clouds,-33.5906,26.891,The Halyards Hotel
27,Torbay,60.28,light intensity drizzle,47.6666,-52.7314,Gallows Cove
30,Saint-Philippe,63.99,scattered clouds,-21.3585,55.7679,Le four à pain
32,Ponta Do Sol,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
34,Salamiyah,72.63,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
35,Vaini,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
37,Nouadhibou,73.38,clear sky,20.931,-17.0347,El Medina
38,Airai,57.07,broken clouds,-8.9266,125.4092,
39,Ponta Delgada,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
40,Souillac,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,Port Alfred,62.44,overcast clouds,-33.5906,26.891,The Halyards Hotel
45,Torbay,60.28,light intensity drizzle,47.6666,-52.7314,Gallows Cove
48,Saint-Philippe,63.99,scattered clouds,-21.3585,55.7679,Le four à pain
50,Ponta Do Sol,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
52,Salamiyah,72.63,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
53,Vaini,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
55,Nouadhibou,73.38,clear sky,20.931,-17.0347,El Medina
56,Airai,57.07,broken clouds,-8.9266,125.4092,
57,Ponta Delgada,74.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
58,Souillac,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
60,Port Alfred,62.44,overcast clouds,-33.5906,26.891,The Halyards Hotel
63,Torbay,60.28,light intensity drizzle,47.6666,-52.7314,Gallows Cove
66,Saint-Philippe,63.99,scattered clouds,-21.3585,55.7679,Le four à pain
68,Ponta Do Sol,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
70,Salamiyah,72.63,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
71,Vaini,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
72,Richards Bay,70.52,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
77,Vila Franca Do Campo,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
81,Pontevel,68.76,clear sky,39.1494,-8.8388,Casa Azul
83,Nikolskoye,66.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
85,Jacqueville,75.69,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
90,Truro,70.88,clear sky,50.2653,-5.0544,Mannings Hotel
91,Kununurra,71.58,clear sky,-15.7667,128.7333,Hotel Kununurra
93,Atuona,77.22,scattered clouds,-9.8,-139.0333,Villa Enata
94,Raudeberg,56.07,overcast clouds,61.9875,5.1352,Nordre Silda.
95,Avarua,78.85,few clouds,-21.2078,-159.775,Paradise Inn
96,Hermanus,58.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
98,Port Elizabeth,58.1,mist,-33.918,25.5701,39 On Nile Guest House
102,San Juan,60.46,broken clouds,-31.5375,-68.5364,Hotel Provincial
105,Peniche,68.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
106,Bonthe,76.14,moderate rain,7.5264,-12.505,Bonthe Holiday Village
110,Rikitea,73.15,broken clouds,-23.1203,-134.9692,People ThankYou
113,Bowen,65.41,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
114,Kokkola,61.93,clear sky,63.8385,23.1307,Hotel Kokkola
116,Carnarvon,58.78,clear sky,-24.8667,113.6333,Hospitality Carnarvon
117,Vila Velha,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
118,Yellowknife,64.92,broken clouds,62.456,-114.3525,The Explorer Hotel
119,Upala,79.16,light rain,10.8979,-85.0145,Hotel El Pueblo Upala
120,Wanning,78.93,overcast clouds,18.8003,110.3967,Paradise Hotel
122,Harper,76.33,overcast clouds,4.375,-7.7169,Screensaver
123,Lae,75.87,overcast clouds,-6.7221,146.9847,Phils Hotel
128,Mayor Pablo Lagerenza,68.41,clear sky,-19.9309,-60.7718,
129,Mar Del Plata,57.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
131,Nikolayevka,61.0,few clouds,53.1257,47.2041,"Hotel ""Prestige"""
132,Kota Kinabalu,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
135,Salym,55.47,broken clouds,60.0625,71.4789,Gostinitsa Salym
138,Faanui,78.24,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Luanda,66.85,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
141,Caravelas,72.99,light rain,-17.7125,-39.2481,Pousada dos Navegantes
145,Poya,68.81,clear sky,-21.35,165.15,
153,Yenagoa,74.03,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
154,Jhanjharpur,79.79,clear sky,26.2667,86.2833,Krishna Sweets
156,Marsa Matruh,77.65,clear sky,31.3525,27.2453,Beau Site
158,Ampanihy,64.49,clear sky,-24.7,44.75,Angora Hotel
159,Matiri,56.84,clear sky,-10.75,34.9,
162,Chirongui,69.73,clear sky,-12.9319,45.1483,La Villa Mahatsara
165,Dakoro,78.85,scattered clouds,14.5106,6.765,Shagon mai liverpool
167,Kvarkeno,65.25,light rain,52.0833,59.725,"Ooo ""Kvarkeno"""
170,Ridgetown,71.46,clear sky,42.4334,-81.8998,JOJO's Paradise Bed & Breakfast/SPA/Bakery Café
171,Ambon,73.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
172,Shinyanga,70.23,overcast clouds,-3.6667,33.4333,New Dami Hotel
174,Geilo,57.7,clear sky,60.5333,8.2076,Havsdalsgrenda Geilo
176,Cascais,70.93,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
177,Takab,74.64,clear sky,36.4009,47.1133,نانوایی جواد
178,Severo-Kurilsk,56.1,overcast clouds,50.6789,156.125,Kak Doma
182,Thompson,78.96,scattered clouds,55.7435,-97.8558,Burntwood Hotel
187,Saint-Joseph,62.98,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
191,Verkhoyansk,57.04,broken clouds,67.5447,133.385,
193,Sobolevo,57.56,clear sky,54.4299,31.8996,
195,Consett,68.25,scattered clouds,54.854,-1.8316,Derwent Manor Boutique Hotel
196,Lata,60.22,clear sky,40.1629,-8.3327,Casa Maquia
197,Nanfeng,74.64,clear sky,23.7434,111.7959,Nanfeng Hotel
204,Cherskiy,55.83,overcast clouds,68.75,161.3,Gostinitsa
205,Arraial Do Cabo,66.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
207,Tsiroanomandidy,57.33,clear sky,-18.7667,46.0333,Hotel Ravinala
208,Nyurba,60.71,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
209,Iskateley,58.32,moderate rain,67.6803,53.1512,Hostel Agat
210,Columbus,78.87,overcast clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
211,Qurayyat,78.98,clear sky,31.3318,37.3428,Resorts Kandel
212,Jamestown,75.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
215,Zhob,78.57,overcast clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
216,Yinchuan,77.22,scattered clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
220,Pombas,76.78,broken clouds,17.1503,-25.0201,Paul Paradis
221,Hovd,62.64,clear sky,48.0056,91.6419,Hotel Khovd
223,Chengde,68.94,overcast clouds,40.9725,117.9361,Super 8 Hotel
224,Ribeira Grande,74.64,broken clouds,38.5167,-28.7,Quinta da Meia Eira
227,Edendale,57.81,few clouds,-29.6528,30.3147,Bed and Breakfast at the White House
228,Tabou,76.35,overcast clouds,4.423,-7.3528,hotêl doufoulougou
229,Kodinar,79.72,overcast clouds,20.7903,70.7031,residency of N.B vadhel
230,Los Llanos De Aridane,69.55,few clouds,28.6585,-17.9182,Valle Aridane
231,Coquimbo,55.13,overcast clouds,-29.9533,-71.3436,Hotel San Juan
233,Batagay,55.0,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
236,Marzuq,79.23,overcast clouds,14.4,46.4667,
237,Mount Isa,62.37,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
238,Cape Town,59.38,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
239,Bar Harbor,72.93,overcast clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
241,Luderitz,55.96,scattered clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
242,Santa Cruz,76.46,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
243,Bontang,78.17,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
245,Potlogi,73.27,scattered clouds,44.55,25.5833,Insieme Grand Resort
246,Meulaboh,77.09,overcast clouds,4.1363,96.1285,Kost Pria
249,Rosh Pinna,75.58,clear sky,32.9689,35.5426,Spa Hotel Mizpe Hayamim
250,Calca,69.15,broken clouds,-13.3333,-71.95,Qasana Hotel Plaza Calca
251,Chelmek,60.46,broken clouds,50.1016,19.248,Zajazd MAGDA Restauracja Bobrek Obiad Oświęcim
252,Komsomolskiy,74.12,few clouds,40.4272,71.7189,Ikathouse
253,Mahebourg,69.26,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
255,Neiafu,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
258,Mackay,64.69,broken clouds,-21.15,149.2,International Lodge Motel
259,Cidreira,58.95,clear sky,-30.1811,-50.2056,Hotel Castelo
260,Scarborough,67.33,scattered clouds,54.2797,-0.4044,The Grand Hotel Scarborough
262,Lompoc,77.85,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
263,Neuquen,58.89,clear sky,-38.9516,-68.0591,Hotel del Comahue
264,Khani,65.77,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
265,Djambala,75.15,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
266,Bondoukou,73.24,overcast clouds,8.0333,-2.8,Prestige Hotel
267,Kizema,59.83,overcast clouds,61.113,44.8302,
268,Lagoa,73.49,light rain,39.05,-27.9833,Casa Das Faias
269,Arman,59.02,overcast clouds,59.7,150.1667,
270,Saldanha,55.98,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
273,Abalak,59.63,moderate rain,58.1286,68.5944,Туристический комплекс Абалак
274,Baniyas,78.3,few clouds,35.1819,35.9487,الفضيوي
275,Tobane,62.04,clear sky,-21.95,27.9,Mediterranean Deep Hotels
278,Berdigestyakh,61.83,scattered clouds,62.0989,126.6992,
279,Poum,68.79,clear sky,-20.2333,164.0167,
280,Mayya,58.32,light rain,61.7333,130.2811,
283,Notodden,65.71,clear sky,59.5594,9.2585,Brattrein Hotel
284,Ndende,72.82,overcast clouds,-2.4008,11.3581,
285,Ponnani,74.52,overcast clouds,10.767,75.9252,Rouba Residency
287,Casino,55.56,overcast clouds,-28.8667,153.05,Squatters Homestead Motel
288,Salalah,76.5,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
289,Hirara,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
291,Bengkulu,76.01,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
292,Bambous Virieux,69.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
293,Shouguang,74.93,scattered clouds,36.88,118.7375,Communications Hotel
295,Namibe,61.38,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
296,Ondarroa,78.69,scattered clouds,43.3167,-2.4167,Hotel Arbe
297,Fairbanks,69.03,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
299,Inhambane,68.63,clear sky,-23.865,35.3833,Oceano
301,Fort Nelson,67.66,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
303,Am Timan,71.08,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
306,Saint-Pierre,68.92,few clouds,-21.3393,55.4781,Alize Plage
312,Pemba,73.4,few clouds,-12.974,40.5178,Guesthouse Samotina
313,East London,63.3,overcast clouds,-33.0153,27.9116,Tu Casa
314,Sechura,72.97,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
316,Tanete,73.56,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
317,Royan,79.79,clear sky,45.6285,-1.0281,CERISE Royan - Le Grand Hôtel de la Plage
319,Victoria Point,60.82,overcast clouds,-27.5833,153.3,Bay Retreat Motel
320,Shu,68.7,clear sky,43.5983,73.7614,Shyngyzkhan
324,Bambanglipuro,75.38,broken clouds,-7.95,110.2833,Puri Brata
326,Carmo Do Rio Claro,58.14,clear sky,-20.9719,-46.1189,Varandas da Montanha Hotel
328,Isangel,73.06,clear sky,-19.55,169.2667,Tanna Lodge
329,Shimoda,78.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
