City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
0,Smithers,54.7804,-127.1743,82.72,34,20,8.05,few clouds
1,Nouadhibou,20.931,-17.0347,73.38,78,5,20.71,clear sky
2,Airai,-8.9266,125.4092,57.07,93,51,3.53,broken clouds
3,Ponta Delgada,37.7333,-25.6667,74.12,73,75,9.22,broken clouds
4,Souillac,-20.5167,57.5167,68.38,77,75,14.97,broken clouds
5,Punta Arenas,-53.15,-70.9167,37.51,65,75,10.36,broken clouds
6,Port Alfred,-33.5906,26.891,62.44,80,92,4.0,overcast clouds
7,Puerto Escondido,15.85,-97.0667,84.18,71,100,5.35,overcast clouds
8,Olafsvik,64.8945,-23.7142,50.13,83,22,10.33,few clouds
9,Torbay,47.6666,-52.7314,60.28,92,100,5.75,light intensity drizzle
10,Castro,-24.7911,-50.0119,47.73,75,0,4.94,clear sky
11,Victoria,22.2855,114.1577,81.32,92,100,5.99,overcast clouds
12,Saint-Philippe,-21.3585,55.7679,63.99,70,31,12.5,scattered clouds
13,Alice Springs,-23.7,133.8833,45.21,63,0,6.91,clear sky
14,Ponta Do Sol,32.6667,-17.1,71.71,75,55,2.44,broken clouds
15,Albany,42.6001,-73.9662,82.58,53,83,9.35,broken clouds
16,Salamiyah,35.0113,37.0532,72.63,76,0,13.15,clear sky
17,Vaini,-21.2,-175.2,75.36,83,40,12.66,scattered clouds
18,Smithers,54.7804,-127.1743,82.72,34,20,8.05,few clouds
19,Nouadhibou,20.931,-17.0347,73.38,78,5,20.71,clear sky
20,Airai,-8.9266,125.4092,57.07,93,51,3.53,broken clouds
21,Ponta Delgada,37.7333,-25.6667,74.12,73,75,9.22,broken clouds
22,Souillac,-20.5167,57.5167,68.38,77,75,14.97,broken clouds
23,Punta Arenas,-53.15,-70.9167,37.51,65,75,10.36,broken clouds
24,Port Alfred,-33.5906,26.891,62.44,80,92,4.0,overcast clouds
25,Puerto Escondido,15.85,-97.0667,84.18,71,100,5.35,overcast clouds
26,Olafsvik,64.8945,-23.7142,50.13,83,22,10.33,few clouds
27,Torbay,47.6666,-52.7314,60.28,92,100,5.75,light intensity drizzle
28,Castro,-24.7911,-50.0119,47.73,75,0,4.94,clear sky
29,Victoria,22.2855,114.1577,81.32,92,100,5.99,overcast clouds
30,Saint-Philippe,-21.3585,55.7679,63.99,70,31,12.5,scattered clouds
31,Alice Springs,-23.7,133.8833,45.21,63,0,6.91,clear sky
32,Ponta Do Sol,32.6667,-17.1,71.71,75,55,2.44,broken clouds
33,Albany,42.6001,-73.9662,82.58,53,83,9.35,broken clouds
34,Salamiyah,35.0113,37.0532,72.63,76,0,13.15,clear sky
35,Vaini,-21.2,-175.2,75.36,83,40,12.66,scattered clouds
36,Smithers,54.7804,-127.1743,82.72,34,20,8.05,few clouds
37,Nouadhibou,20.931,-17.0347,73.38,78,5,20.71,clear sky
38,Airai,-8.9266,125.4092,57.07,93,51,3.53,broken clouds
39,Ponta Delgada,37.7333,-25.6667,74.12,73,75,9.22,broken clouds
40,Souillac,-20.5167,57.5167,68.38,77,75,14.97,broken clouds
41,Punta Arenas,-53.15,-70.9167,37.51,65,75,10.36,broken clouds
42,Port Alfred,-33.5906,26.891,62.44,80,92,4.0,overcast clouds
43,Puerto Escondido,15.85,-97.0667,84.18,71,100,5.35,overcast clouds
44,Olafsvik,64.8945,-23.7142,50.13,83,22,10.33,few clouds
45,Torbay,47.6666,-52.7314,60.28,92,100,5.75,light intensity drizzle
46,Castro,-24.7911,-50.0119,47.73,75,0,4.94,clear sky
47,Victoria,22.2855,114.1577,81.32,92,100,5.99,overcast clouds
48,Saint-Philippe,-21.3585,55.7679,63.99,70,31,12.5,scattered clouds
49,Alice Springs,-23.7,133.8833,45.21,63,0,6.91,clear sky
50,Ponta Do Sol,32.6667,-17.1,71.71,75,55,2.44,broken clouds
51,Albany,42.6001,-73.9662,82.58,53,83,9.35,broken clouds
52,Salamiyah,35.0113,37.0532,72.63,76,0,13.15,clear sky
53,Vaini,-21.2,-175.2,75.36,83,40,12.66,scattered clouds
